roi_mean,roi_bias,background_mean,background_std,cnr_mean,cnr_slope,cnr_intercept,cnr_r_squared,detection_limit_mgml,detection_limit_invalid,rmse,nrmse,ssim,protocol,run,family,seed,angle_count,hole_count,hole_diameter_mm,total_detected_counts,expected_detected_counts,estimated_dose_or_exposure_scale,projection_poisson_deviance,residual_structure_score,sensitivity_uniformity_cv,sensitivity_min_over_mean,fov_truncation_ratio,overlap_score,final_objective,final_deviance,final_relative_change,runtime_s,memory_mb
9.223766763297228,7.8904334299638945,9.331220928740844,0.9358485169432732,-0.1377840496595629,-0.4131768606732025,0.5232989274175606,0.8183828922059376,-8.414559002451728,True,2.4933587638530468,0.8311195879510156,nan,equal_acquisition_time,traditional_5,single_pinhole,20260509,5,1,1.0,199958.0,200000.06399999995,156414.60240703018,8882019.917666033,0.28968943138923225,0.10256743929110343,0.5864130850866878,0.036800000000000006,0.0,4095354.060735088,8882019.917666033,0.9650189143497837,0.360368013381958,299712.0
9.359434852550706,8.026101519217372,9.653657446272044,0.8866600111749084,-0.3981989804612457,-0.5379530512331929,0.4625259015118627,0.8774306671552394,-6.5758045063205826,True,2.5333688809530135,0.8444562936510045,nan,equal_acquisition_time,traditional_5,single_pinhole,20260510,5,1,1.0,200361.0,200000.06399999995,156414.60240703018,8980516.399623925,0.2816999038408709,0.10256743929110343,0.5864130850866878,0.036800000000000006,0.0,4143221.1056035575,8980516.399623925,0.9763231702265898,0.37174487113952637,330032.0
9.207940291218605,7.874606957885272,9.538891427347087,0.869979779021713,-0.45649493577972644,-0.55988210108841,0.43931642596172893,0.8590688654318227,-6.359702457207165,True,2.4875585700132072,0.8291861900044024,nan,equal_acquisition_time,traditional_5,single_pinhole,20260511,5,1,1.0,199116.0,200000.06399999995,156414.60240703018,8815775.39329733,0.2740145120525418,0.10256743929110343,0.5864130850866878,0.036800000000000006,0.0,4063641.386541574,8815775.39329733,0.9932399216222837,0.3463716506958008,344560.0
34.542381071957976,33.20904773862464,35.70735963648608,1.0106157535063958,-1.383289615843967,-0.9665385517448821,0.16317206694784372,0.7653060874875506,-3.969658454001209,True,21.926549890586298,7.308849963528766,nan,equal_acquisition_time,traditional_15,single_pinhole,20260509,15,1,1.0,601208.0,599888.0897483763,156414.60240703018,334550515.0889236,0.9139429780870306,0.09045635331672719,0.49337093069650695,0.03573333333333333,0.0,166233754.32647777,334550515.0889236,0.10436418416121673,1.061763048171997,374080.0
34.42482273323942,33.09148939990608,35.58288880497728,1.0051902853841954,-1.3825036973514753,-0.9548233981222226,0.14521373964408055,0.7820849487748072,-4.037171971211461,True,21.856885197450165,7.285628399150055,nan,equal_acquisition_time,traditional_15,single_pinhole,20260510,15,1,1.0,599712.0,599888.0897483763,156414.60240703018,333487906.3679159,0.9139401069503815,0.09045635331672719,0.49337093069650695,0.03573333333333333,0.0,165705145.1361946,333487906.3679159,0.1045327109771033,1.0758888721466064,383488.0
34.334075482245694,33.00074214891236,35.44662644670196,1.0084061511654363,-1.3239319849492766,-0.9579862491611073,0.20884601370849454,0.7845816152223627,-3.957420046072014,True,21.74394270083825,7.247980900279416,nan,equal_acquisition_time,traditional_15,single_pinhole,20260511,15,1,1.0,599176.0,599888.0897483763,156414.60240703018,331680061.6300096,0.913873570551514,0.09045635331672719,0.49337093069650695,0.03573333333333333,0.0,164804092.84566987,331680061.6300096,0.10490552007706058,1.0170910358428955,389600.0
74.45593744370136,73.12260411036802,73.8350690658555,2.682045857108167,0.2777887079896321,0.16786668527107962,0.009202011555904738,0.2497229343238414,23.77361524712037,True,43.68176077978697,14.560586926595656,nan,equal_acquisition_time,traditional_45,single_pinhole,20260509,45,1,1.0,1799389.0,1799820.9629458876,156414.60240703018,2042302050.642818,0.9189882920352814,0.08930036725036779,0.45193145229228665,0.034666666666666665,0.0,1018035624.8006974,2042302050.642818,0.10344625573711343,2.8387489318847656,428960.0
74.45099694998252,73.11766361664918,73.82937737968723,2.6890070202949325,0.27740481104156683,0.1646086575976945,0.014030958885255726,0.24409493152283357,24.214820163690902,True,43.671195839296956,14.557065279765652,nan,equal_acquisition_time,traditional_45,single_pinhole,20260510,45,1,1.0,1797691.0,1799820.9629458876,156414.60240703018,2041764051.646531,0.9185435801147123,0.08930036725036779,0.45193145229228665,0.034666666666666665,0.0,1017775196.4801195,2041764051.646531,0.1035085820645948,2.751086711883545,470384.0
73.72472481021931,72.39139147688599,73.11465925862747,2.663410094339462,0.27486516757824664,0.16667876326281345,0.008179146357745299,0.25029888420679747,23.949186900001692,False,43.21468135423012,14.404893784743374,nan,equal_acquisition_time,traditional_45,single_pinhole,20260511,45,1,1.0,1798044.0,1799820.9629458876,156414.60240703018,2019757132.6238487,0.9189051185374715,0.08930036725036779,0.45193145229228665,0.034666666666666665,0.0,1006766434.5500742,2019757132.6238487,0.10408520256760334,3.2304000854492188,508416.0
5.99242608650088,4.659092753167547,6.079443704947306,2.080215108003425,-0.05019728091290208,0.15970114580004463,-0.3057191141929732,0.2609781862417495,26.9611034574792,False,9.405432721750186,3.1351442405833954,nan,equal_acquisition_time,grid9_p6_d1p25_5,grid3x3,20260509,5,9,1.25,1374790.0,1373028.9362214701,156414.60240703018,302727614.8996297,0.9904210171959592,0.10650230937715666,0.6024770693753654,0.5347555555555554,0.3923135322273782,147201682.88670224,302727614.8996297,0.21407629999065536,2.413670063018799,510352.0
