candidate_id,family,hole_count,hole_diameter_mm,min_distance_mm,actual_min_distance_mm,mask_radius_mm,total_open_area_mm2,hole_centers_mm,comments,json_path
ring_two_n9_d0d75_mind3,ring_two,9,0.75,3.0,3.0,9.0,3.9760782021995817,"[[0.0, 0.0], [1.5000000000000004, 2.598076211353316], [-3.0, 3.6739403974420594e-16], [1.499999999999998, -2.598076211353317], [6.75, 0.0], [2.0858647120308955, 6.419631484992286], [-5.460864712030895, 3.9675504529741943], [-5.4608647120308955, -3.967550452974193], [2.0858647120308937, -6.419631484992287]]",9-hole ring sparse depth-coded candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/ring_two_n9_d0d75_mind3.json
ring_two_n9_d1d25_mind3,ring_two,9,1.25,3.0,3.0,9.0,11.044661672776616,"[[0.0, 0.0], [1.5000000000000004, 2.598076211353316], [-3.0, 3.6739403974420594e-16], [1.499999999999998, -2.598076211353317], [6.75, 0.0], [2.0858647120308955, 6.419631484992286], [-5.460864712030895, 3.9675504529741943], [-5.4608647120308955, -3.967550452974193], [2.0858647120308937, -6.419631484992287]]",9-hole ring sparse depth-coded candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/ring_two_n9_d1d25_mind3.json
single_center_n1_d0d75_mind0,single_center,1,0.75,0.0,0.0,9.0,0.44178646691106466,"[[0.0, 0.0]]",single center pinhole regression/control,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/single_center_n1_d0d75_mind0.json
single_center_n1_d1d25_mind0,single_center,1,1.25,0.0,0.0,9.0,1.227184630308513,"[[0.0, 0.0]]",single center pinhole regression/control,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/single_center_n1_d1d25_mind0.json
sparse_random_n3_d0d75_mind3_s0,sparse_random,3,0.75,3.0,4.408273038914391,9.0,1.325359400733194,"[[0.0, 0.0], [3.453204386086592, 2.7401187298239185], [4.8706669419669595, -5.433164025308125]]",random sparse 3-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n3_d0d75_mind3_s0.json
sparse_random_n3_d0d75_mind3_s1,sparse_random,3,0.75,3.0,7.537660930601675,9.0,1.325359400733194,"[[0.0, 0.0], [-1.4539947337497914, -7.396095701040298], [-7.918428134697883, -3.126400495061449]]",random sparse 3-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n3_d0d75_mind3_s1.json
sparse_random_n3_d0d75_mind6_s0,sparse_random,3,0.75,6.0,7.296757347306553,9.0,1.325359400733194,"[[0.0, 0.0], [4.8706669419669595, -5.433164025308125], [-4.577159684409161, 6.205513901316611]]",random sparse 3-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n3_d0d75_mind6_s0.json
sparse_random_n3_d0d75_mind6_s1,sparse_random,3,0.75,6.0,7.537660930601675,9.0,1.325359400733194,"[[0.0, 0.0], [-1.4539947337497914, -7.396095701040298], [-7.918428134697883, -3.126400495061449]]",random sparse 3-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n3_d0d75_mind6_s1.json
sparse_random_n3_d1d25_mind3_s0,sparse_random,3,1.25,3.0,4.408273038914391,9.0,3.6815538909255388,"[[0.0, 0.0], [3.453204386086592, 2.7401187298239185], [4.8706669419669595, -5.433164025308125]]",random sparse 3-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n3_d1d25_mind3_s0.json
sparse_random_n3_d1d25_mind3_s1,sparse_random,3,1.25,3.0,7.537660930601675,9.0,3.6815538909255388,"[[0.0, 0.0], [-1.4539947337497914, -7.396095701040298], [-7.918428134697883, -3.126400495061449]]",random sparse 3-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n3_d1d25_mind3_s1.json
sparse_random_n3_d1d25_mind6_s0,sparse_random,3,1.25,6.0,7.296757347306553,9.0,3.6815538909255388,"[[0.0, 0.0], [4.8706669419669595, -5.433164025308125], [-4.577159684409161, 6.205513901316611]]",random sparse 3-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n3_d1d25_mind6_s0.json
sparse_random_n3_d1d25_mind6_s1,sparse_random,3,1.25,6.0,7.537660930601675,9.0,3.6815538909255388,"[[0.0, 0.0], [-1.4539947337497914, -7.396095701040298], [-7.918428134697883, -3.126400495061449]]",random sparse 3-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n3_d1d25_mind6_s1.json
sparse_random_n5_d0d75_mind3_s0,sparse_random,5,0.75,3.0,4.1327050721538905,9.0,2.2089323345553233,"[[0.0, 0.0], [6.002568864203762, -1.4239285636427534], [8.25030447203517, 2.044058727379701], [-4.843252869672847, -3.4071974358810033], [3.72020116300338, 5.091539902454163]]",random sparse 5-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d0d75_mind3_s0.json
sparse_random_n5_d0d75_mind3_s1,sparse_random,5,0.75,3.0,3.023561096568373,9.0,2.2089323345553233,"[[0.0, 0.0], [-5.006627363324546, 1.912863827850526], [-6.929030836089093, -0.42086421812752917], [7.598973995750613, -3.0943362717712333], [2.675130433460945, -4.206929227175763]]",random sparse 5-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d0d75_mind3_s1.json
sparse_random_n5_d0d75_mind6_s0,sparse_random,5,0.75,6.0,6.16914949761036,9.0,2.2089323345553233,"[[0.0, 0.0], [6.002568864203762, -1.4239285636427534], [3.72020116300338, 5.091539902454163], [-2.722089269903368, -5.7275978537180405], [-5.6230403725478295, 3.7155600319117728]]",random sparse 5-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d0d75_mind6_s0.json
