roi_mean,roi_bias,background_mean,background_std,cnr_mean,cnr_slope,cnr_intercept,cnr_r_squared,cnr_monotonic,detection_limit_mgml,detection_limit_valid,detection_limit_invalid,detection_limit_invalid_reason,detection_limit_quality,rmse,nrmse,ssim,protocol,protocol_source,protocol_reused_from,run,family,seed,angle_count,num_iterations,hole_count,hole_diameter_mm,total_detected_counts,expected_detected_counts,estimated_dose_or_exposure_scale,projection_poisson_deviance,residual_structure_score,sensitivity_uniformity_cv,sensitivity_min_over_mean,fov_truncation_ratio,overlap_score,final_objective,final_deviance,final_relative_change,runtime_s,memory_mb
0.5911818520318067,-0.7421514813015265,0.7147195687001441,0.33239128645783933,-0.4459962280654078,0.944842858916127,-1.9577448023312094,0.5814861826618319,False,6.305540382837433,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,1.981404097994951,0.6604680326649837,nan,equal_acquisition_time,equal_acquisition_time,,blue_noise_n3_d1d25_mind3_s1,blue_noise,20260509,5,15,3,1.25,498327.0,497589.90028783976,300277.7053070852,12749208.725365167,0.3111997551300832,0.1632838006125329,0.5329190001379798,0.49388999999999994,0.06481534726477492,5288621.599476458,12749208.725365167,0.1466673779808367,82.26171374320984,239.73828125
0.9829298305020858,-0.3504035028312474,1.2610743046407706,0.3216245758492699,-1.0377732114689064,0.9244650012977536,-2.5169172135453106,0.5020168375565626,False,7.049393113202702,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,2.3961347001593354,0.7987115667197785,nan,equal_acquisition_time,equal_acquisition_time,,blue_noise_n3_d1d25_mind3_s1,blue_noise,20260510,5,15,3,1.25,498581.0,497589.90028783976,300277.7053070852,17883513.856947977,0.28116363853637216,0.1632838006125329,0.5329190001379798,0.49388999999999994,0.06481534726477492,7854028.180216877,17883513.856947977,0.12675569664544045,86.54961085319519,239.73828125
14.372344515288022,13.03901118195469,15.551389793701981,0.988865664775176,-1.4307851758797043,0.2656646031593898,-1.8558485409347272,0.10800049822904167,False,22.04226107390534,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,14.683597950644245,4.894532650214749,nan,equal_acquisition_time,equal_acquisition_time,,grid9_p6_d1p25_5,grid3x3,20260509,5,15,9,1.25,1325156.0,1325140.6172944435,300277.7053070852,507491195.0946808,0.9958058169867722,0.12125799725821994,0.6935517158032649,0.5388888888888889,0.5460245321680475,249953313.0272545,507491195.0946808,0.028653467036756985,267.58955240249634,239.73828125
14.13857325032771,12.805239916994376,15.329206056145352,0.9989531078604027,-1.4302566914690789,0.2662530131608026,-1.8562615125263617,0.10823651252347777,False,21.995099484524868,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,14.459555045664846,4.819851681888282,nan,equal_acquisition_time,equal_acquisition_time,,grid9_p6_d1p25_5,grid3x3,20260510,5,15,9,1.25,1327176.0,1325140.6172944435,300277.7053070852,498550852.2980784,0.9957862620707811,0.12125799725821994,0.6935517158032649,0.5388888888888889,0.5460245321680475,245473804.95364013,498550852.2980784,0.030254906720731438,270.37163281440735,239.73828125
11.86453822964497,10.531204896311637,11.470582849554926,0.7043338489401975,0.6711965594432086,0.14109629965377998,0.4454424799971606,0.6947848290050228,False,25.192421975097577,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,19.063794219737023,6.354598073245675,nan,equal_acquisition_time,equal_acquisition_time,,ring_n7_d1d25_mind3,ring,20260509,5,15,7,1.25,1611354.0,1609672.6312616023,300277.7053070852,718182871.2292293,0.9908775424250549,0.1774403316672921,0.691548104888751,0.31764714285714285,0.5695467229842718,354115578.4082885,718182871.2292293,0.02600577827566336,209.35620713233948,239.73828125
11.336861622514235,10.0035282891809,10.934727551879085,0.7157287937604583,0.6742230981469837,0.14196869886710428,0.447073179959617,0.698068747533469,False,25.02612793096208,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,18.657452085446238,6.219150695148746,nan,equal_acquisition_time,equal_acquisition_time,,ring_n7_d1d25_mind3,ring,20260510,5,15,7,1.25,1609969.0,1609672.6312616023,300277.7053070852,698714181.2330942,0.9906801906142056,0.1774403316672921,0.691548104888751,0.31764714285714285,0.5695467229842718,344387475.2029564,698714181.2330942,0.028009710205402414,210.5807511806488,239.73828125
1.003830078883613,-0.3295032544497204,0.04091726233643244,0.06680981924044255,17.295292712858455,10.036905660395952,1.2362436562249384,0.9824737532485214,True,0.2753594023186258,True,False,valid,valid,0.12098698999344439,0.04032899666448146,nan,equal_acquisition_time,equal_acquisition_time,,traditional_15,single_pinhole,20260509,15,15,1,1.0,598998.0,599626.8590814034,300277.7053070852,412860.9259143977,0.38942511828245374,0.07915794620637133,0.487859554700963,0.04241666666666667,0.0,-719102.9131481887,412860.9259143977,0.07351071363167233,75.41912007331848,192.265625
0.9859407569000878,-0.3473925764332455,0.018025223463943085,0.038940370555145674,29.827621657541993,16.964404894204776,2.684573826814364,0.9907153106196334,True,0.07754036651382919,True,False,valid,valid,0.12154588807805682,0.040515296026018936,nan,equal_acquisition_time,equal_acquisition_time,,traditional_15,single_pinhole,20260510,15,15,1,1.0,598893.0,599626.8590814034,300277.7053070852,515493.28301719954,0.4142427014409094,0.07915794620637133,0.487859554700963,0.04241666666666667,0.0,-668312.6848543452,515493.28301719954,0.07582633074132199,74.93661284446716,200.59765625
1.229778844405035,-0.10355448892829826,0.004059521962933658,0.014140889138059715,104.01490122511068,56.90525591849703,12.966491755515483,0.9966679595996256,True,-0.1575687800852316,False,True,negative detection limit,invalid,0.10178455415664543,0.03392818471888181,nan,equal_acquisition_time,equal_acquisition_time,,traditional_45,single_pinhole,20260509,45,15,1,1.0,1795123.0,1798852.7715231641,300277.7053070852,2102507.042439462,0.4549915003134043,0.07808705546680046,0.58249886948463,0.04257111111111111,0.0,-1723331.4143133368,2102507.042439462,0.062344147264556296,212.51937556266785,239.73828125
1.225126263300399,-0.10820707003293438,0.007453547271793837,0.02193166310199668,66.6254653118986,36.196587263198694,8.710925690780721,0.9965161978688887,True,-0.130148338475278,False,True,negative detection limit,invalid,0.10281858128217161,0.034272860427390535,nan,equal_acquisition_time,equal_acquisition_time,,traditional_45,single_pinhole,20260510,45,15,1,1.0,1798706.0,1798852.7715231641,300277.7053070852,2623472.809812773,0.48515343853581516,0.07808705546680046,0.58249886948463,0.04257111111111111,0.0,-1471377.8638348428,2623472.809812773,0.062480849454793444,206.7226266860962,239.73828125
0.6714240699696378,-0.6619092633636955,0.03298095089626432,0.07126348697863351,10.750691207655228,6.330264014372097,0.6222687846598804,0.8717885180873609,True,0.5335845720923157,True,False,valid,valid,0.15568979922735943,0.05189659974245314,nan,equal_acquisition_time,equal_acquisition_time,,traditional_5,single_pinhole,20260509,5,15,1,1.0,200177.0,200000.06399999995,300277.7053070852,88544.18805565097,0.33904439629962235,0.08400759579744677,0.5897991046055336,0.04203,0.0,-264805.6103973674,88544.18805565097,0.09812037230531613,27.372047662734985,164.24609375
0.6605121243976121,-0.6728212089357211,0.030867881528090377,0.0732712643187183,10.31199745860538,5.735087383446344,1.1358576450912292,0.8560293127333862,False,0.4994069250236328,False,True,non-monotonic CNR concentration response,invalid,0.15623305304340115,0.052077684347800385,nan,equal_acquisition_time,equal_acquisition_time,,traditional_5,single_pinhole,20260510,5,15,1,1.0,199778.0,200000.06399999995,300277.7053070852,134024.6536426192,0.3800328587386574,0.08400759579744677,0.5897991046055336,0.04203,0.0,-241822.2543335488,134024.6536426192,0.11445009378882755,27.205971717834473,179.10546875
0.5911818520318067,-0.7421514813015265,0.7147195687001441,0.33239128645783933,-0.4459962280654078,0.944842858916127,-1.9577448023312094,0.5814861826618319,False,6.305540382837433,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,1.981404097994951,0.6604680326649837,nan,equal_incident_dose,equal_acquisition_time,equal_acquisition_time,blue_noise_n3_d1d25_mind3_s1,blue_noise,20260509,5,15,3,1.25,498327.0,497589.90028783976,300277.7053070852,12749208.725365167,0.3111997551300832,0.1632838006125329,0.5329190001379798,0.49388999999999994,0.06481534726477492,5288621.599476458,12749208.725365167,0.1466673779808367,82.26171374320984,239.73828125
0.9829298305020858,-0.3504035028312474,1.2610743046407706,0.3216245758492699,-1.0377732114689064,0.9244650012977536,-2.5169172135453106,0.5020168375565626,False,7.049393113202702,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,2.3961347001593354,0.7987115667197785,nan,equal_incident_dose,equal_acquisition_time,equal_acquisition_time,blue_noise_n3_d1d25_mind3_s1,blue_noise,20260510,5,15,3,1.25,498581.0,497589.90028783976,300277.7053070852,17883513.856947977,0.28116363853637216,0.1632838006125329,0.5329190001379798,0.49388999999999994,0.06481534726477492,7854028.180216877,17883513.856947977,0.12675569664544045,86.54961085319519,239.73828125
14.372344515288022,13.03901118195469,15.551389793701981,0.988865664775176,-1.4307851758797043,0.2656646031593898,-1.8558485409347272,0.10800049822904167,False,22.04226107390534,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,14.683597950644245,4.894532650214749,nan,equal_incident_dose,equal_acquisition_time,equal_acquisition_time,grid9_p6_d1p25_5,grid3x3,20260509,5,15,9,1.25,1325156.0,1325140.6172944435,300277.7053070852,507491195.0946808,0.9958058169867722,0.12125799725821994,0.6935517158032649,0.5388888888888889,0.5460245321680475,249953313.0272545,507491195.0946808,0.028653467036756985,267.58955240249634,239.73828125
14.13857325032771,12.805239916994376,15.329206056145352,0.9989531078604027,-1.4302566914690789,0.2662530131608026,-1.8562615125263617,0.10823651252347777,False,21.995099484524868,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,14.459555045664846,4.819851681888282,nan,equal_incident_dose,equal_acquisition_time,equal_acquisition_time,grid9_p6_d1p25_5,grid3x3,20260510,5,15,9,1.25,1327176.0,1325140.6172944435,300277.7053070852,498550852.2980784,0.9957862620707811,0.12125799725821994,0.6935517158032649,0.5388888888888889,0.5460245321680475,245473804.95364013,498550852.2980784,0.030254906720731438,270.37163281440735,239.73828125
11.86453822964497,10.531204896311637,11.470582849554926,0.7043338489401975,0.6711965594432086,0.14109629965377998,0.4454424799971606,0.6947848290050228,False,25.192421975097577,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,19.063794219737023,6.354598073245675,nan,equal_incident_dose,equal_acquisition_time,equal_acquisition_time,ring_n7_d1d25_mind3,ring,20260509,5,15,7,1.25,1611354.0,1609672.6312616023,300277.7053070852,718182871.2292293,0.9908775424250549,0.1774403316672921,0.691548104888751,0.31764714285714285,0.5695467229842718,354115578.4082885,718182871.2292293,0.02600577827566336,209.35620713233948,239.73828125
11.336861622514235,10.0035282891809,10.934727551879085,0.7157287937604583,0.6742230981469837,0.14196869886710428,0.447073179959617,0.698068747533469,False,25.02612793096208,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,18.657452085446238,6.219150695148746,nan,equal_incident_dose,equal_acquisition_time,equal_acquisition_time,ring_n7_d1d25_mind3,ring,20260510,5,15,7,1.25,1609969.0,1609672.6312616023,300277.7053070852,698714181.2330942,0.9906801906142056,0.1774403316672921,0.691548104888751,0.31764714285714285,0.5695467229842718,344387475.2029564,698714181.2330942,0.028009710205402414,210.5807511806488,239.73828125
1.003830078883613,-0.3295032544497204,0.04091726233643244,0.06680981924044255,17.295292712858455,10.036905660395952,1.2362436562249384,0.9824737532485214,True,0.2753594023186258,True,False,valid,valid,0.12098698999344439,0.04032899666448146,nan,equal_incident_dose,equal_acquisition_time,equal_acquisition_time,traditional_15,single_pinhole,20260509,15,15,1,1.0,598998.0,599626.8590814034,300277.7053070852,412860.9259143977,0.38942511828245374,0.07915794620637133,0.487859554700963,0.04241666666666667,0.0,-719102.9131481887,412860.9259143977,0.07351071363167233,75.41912007331848,192.265625
