detection_limit_mgml,detection_limit_valid,detection_limit_invalid,detection_limit_invalid_reason,detection_limit_quality,roi_r_squared,cnr_slope,cnr_monotonic,roi_bias_proxy,candidate_id,family,perturbation,projection_deviance,residual_structure_score,total_counts,num_iterations,perturbation_profile
16.49914413527291,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,0.1645774201288852,0.3542744933776919,False,0.619469662699029,grid9_p6_d1p25_5,grid3x3,nominal,8698150.012787983,0.9948378810339511,200000.06399999995,3,minimal
16.593133638314367,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,0.16194517904158323,0.35185922607485337,False,0.6139021832139526,grid9_p6_d1p25_5,grid3x3,mask_dx_p0.1,8673213.473284714,0.9948295438105826,199673.2728437807,3,minimal
16.477157961027604,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,0.16449990726826857,0.3550217369305719,False,0.5670070676076804,grid9_p6_d1p25_5,grid3x3,detector_distance_p0.5,8438189.2394114,0.9948275923189649,196660.2866507504,3,minimal
16.489347355695678,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,0.16473169478452865,0.35451982758606077,False,0.6186085278942559,grid9_p6_d1p25_5,grid3x3,angle_p0.5,8695189.015220787,0.9948345033109646,199959.22158037307,3,minimal
16.49917329923694,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,0.16541469166451206,0.3543283631583116,False,0.5983665903967585,grid9_p6_d1p25_5,grid3x3,center_jitter_sigma0.05,8596103.911938665,0.9948143285155521,198681.13452288738,3,minimal
7.27402553399887,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,0.4931548715270194,0.894416302096259,False,0.24767322031290684,blue_noise_n3_d1d25_mind3_s1,blue_noise,nominal,7574891.267905885,0.9535580500942193,200000.06399999995,3,minimal
7.256702154075241,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,0.48159019728769437,0.895873634787994,False,0.23964797772644597,blue_noise_n3_d1d25_mind3_s1,blue_noise,mask_dx_p0.1,7539430.660201475,0.8768025404161202,199519.18345813293,3,minimal
7.226514143198111,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,0.49537463240001545,0.9023682860728649,False,0.21154180171103043,blue_noise_n3_d1d25_mind3_s1,blue_noise,detector_distance_p0.5,7396472.747074267,0.8076936233906769,197608.22127010126,3,minimal
7.288557839177106,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,0.4913934244745267,0.8928049794505174,False,0.2473646404611194,blue_noise_n3_d1d25_mind3_s1,blue_noise,angle_p0.5,7575908.658671376,0.8992215207545191,200009.3303170858,3,minimal
7.303037404668499,False,True,poor CNR linear fit R2<0.80; non-monotonic CNR concentration response,invalid,0.49006914540259483,0.8898500196601475,False,0.19907786580051567,blue_noise_n3_d1d25_mind3_s1,blue_noise,center_jitter_sigma0.05,7328080.467031655,0.9346090404315059,196664.58112215088,3,minimal
